filename,language,topic,text
ja_periodic_table.png,ja,Periodic Table,"周期表（しゅうきひょう、英: periodic table）は、物質を構成する基本単位である元素を、周期律を利用して並べた表である。元素を原子番号の順に並べたとき、物理的または化学的性質が周期的に変化する性質を周期律といい、周期表では性質の類似した元素が縦に並ぶように配列されている。「周期律表」や「元素周期表」などとも呼ばれる。
周期表は原則、左上から原子番号の順に並ぶよう作成されている。周期表上で元素はその原子の電子配置に従って並べられ、似た性質の元素が規則的に出現する。"
vi_artificial_intelligence.png,vi,Artificial Intelligence,"Trí tuệ nhân tạo (tiếng Anh: Artificial intelligence, viết tắt là AI) là khả năng của các hệ thống máy tính thực hiện các nhiệm vụ liên quan đến trí thông minh của con người, như học tập, suy luận, giải quyết vấn đề, nhận thức và đưa ra quyết định. Đây là một lĩnh vực nghiên cứu thuộc khoa học máy tính tập trung phát triển và nghiên cứu các phương pháp và phần mềm giúp máy móc có thể nhận thức môi trường xung quanh, cũng như sử dụng học tập và trí tuệ để thực hiện hành động nhằm tối đa hóa khả năng đạt được các mục tiêu đã định.
Các ứng dụng nổi bật của AI bao gồm công cụ tìm kiếm web tiên tiến (ví dụ: Google Tìm kiếm); hệ thống đề xuất (được sử dụng bởi YouTube, Amazon và Netflix); trợ lý ảo (ví dụ: Trợ lý Google, Siri và Alexa); xe tự lái (ví dụ: Waymo); công cụ sáng tạo và nội dung tạo sinh (ví dụ: mô hình ngôn ngữ và nghệ thuật AI); cùng khả năng chơi và phân tích vượt trội hơn con người trong các trò chơi chiến lược (ví dụ: cờ vua và cờ vây). Tuy nhiên, nhiều ứng dụng AI không được nhận diện là AI: ""Rất nhiều công nghệ AI đỉnh cao đã được tích hợp vào các ứng dụng thông thường, thường không còn được gọi là AI vì một khi thứ gì đó trở nên đủ hữu ích và phổ biến, nó không còn được dán nhãn AI nữa."""
vi_hydrogen_isotopes.png,vi,Hydrogen Isotopes,"Hydro (H) (khối lượng nguyên tử tiêu chuẩn: [1,00784, 1,00811], thông thường làm tròn thành 1,008) có ba đồng vị tự nhiên, đôi khi được ký hiệu là H, H và H. H và H là hai đồng vị ổn định trong khi H có chu kỳ bán rã là 12,5 năm. Tất cả các đồng vị nặng hơn đều là chất tổng hợp và có chu kỳ bán rã ngắn hơn một phần pico giây (10 giây). Trong các đồng vị tổng hợp trên, H là đồng vị bền nhất, và H là đồng vị kém bền nhất.
Hydro là nguyên tố duy nhất với đồng vị của nó có các tên khác nhau được sử dụng phổ biến cho đến ngày nay. Đồng vị H (hay hydro-2) thường được gọi là deuteri, trong khi đồng vị H (hay hydro-3) thường được gọi là triti. IUPAC chấp nhận các ký hiệu D và T, nhưng khuyến nghị sử dụng các ký hiệu đồng vị tiêu chuẩn (H và H) vì nó có thể gây ra vấn đề trong phân loại công thức hóa học theo chữ cái. Đồng vị bình thường của hydro, không có neutron, đôi khi được gọi là ""proti"". (Trong nghiên cứu ban đầu về phóng xạ, một số đồng vị phóng xạ nặng khác đã được đặt tên, nhưng những cái tên này ngày nay không dùng nữa)."
vi_periodic_table.png,vi,Periodic Table,"Bảng tuần hoàn (tên đầy đủ là Bảng tuần hoàn các nguyên tố hóa học, còn được biết với tên Bảng tuần hoàn Mendeleev, là một phương pháp liệt kê các nguyên tố hóa học thành dạng bảng, dựa trên số hiệu nguyên tử (số proton trong hạt nhân), cấu hình electron và các tính chất hóa học tuần hoàn của chúng. Các nguyên tố được biểu diễn theo trật tự số hiệu nguyên tử tăng dần, thường liệt kê cùng với ký hiệu hóa học trong mỗi ô. Dạng tiêu chuẩn của bảng gồm các nguyên tố được sắp xếp thành 18 cột và 7 dòng, với hai dòng kép nằm riêng nằm bên dưới cùng.
Các hàng trong bảng gọi là các chu kỳ, trong khi các cột gọi là các nhóm, một số có tên riêng như halogen hoặc khí hiếm. Bởi vì theo định nghĩa một bảng tuần hoàn thể hiện những xu hướng tuần hoàn, bất kỳ bảng dưới dạng nào cũng có thể dùng để suy ra mối quan hệ giữa các tính chất của nguyên tố và tiên đoán tính chất của những nguyên tố mới, chưa được khám phá hoặc chưa tổng hợp được. Do đó, một bảng tuần hoàn-dù ở dạng tiêu chuẩn hay các biến thể-cung cấp khuôn khổ hữu ích cho việc phân tích thuộc tính hóa học, và các bảng như vậy được sử dụng rộng rãi trong hóa học và các ngành khoa học khác."
zh_simp_artificial_intelligence.png,zh,Simp Artificial Intelligence,"人工智能（英语：artificial intelligence，缩写为AI），是指计算机系统执行通常与人类智慧相关的任务的能力，例如学习、推理、解决问题、感知和决策。它是计算机科学的一个研究领域，致力于开发和研究使机器能够感知其环境并利用学习和智能采取行动以最大限度地提高其实现既定目标的可能性的方法和软件。
通常人工智能是指用普通电脑程式来呈现人类智能的技术。该词也指出研究这样的智能系统是否能够实现，以及如何实现。同时，随著医学、神经科学、机器人学及统计学等方面的发展，普遍认为人类的部分职业也逐渐被其取代。"
zh_simp_history_of_printing.png,zh,Simp History Of Printing,"印刷史可以追溯到公元前3000年左右，当时原始埃兰和苏美尔文明使用圆筒印章来认证刻在黏土板上的文件。其他早期的印刷形式包括方封印、锤打铸币、陶器印记和布料印刷。纺织品上的木刻印刷方法，比如丝绸上的木刻印刷，最初起源于中国唐朝的7世纪，而后传至亚洲其他地方，如韩国和日本，使书籍制作和木刻印刷技术流行。汉传佛教《金刚经》是于868年5月11日木刻印刷，是已知最早具有确切出版日期的印刷书籍。活字印刷术于宋朝11世纪由中国刻版工毕昇发明，但与木刻印刷相比，其使用范围有限。尽管如此，这项技术还是传至中国以外的地方，最早使用金属活字印刷的书籍则是《直指》，印刷于1377年高丽王朝时代。
直到15世纪中叶，欧洲也使用木版印刷。中世纪后期的德国发明家约翰内斯·谷登堡基于先前已知的压力机和大规模生产金属活字的工艺，创造了第一台印刷机。到15世纪末，他的发明和《谷登堡圣经》的广泛流传导致了欧洲文艺复兴时期兴起的经济书籍出版业，最终传至英美殖民地的出版商和印刷商。这一产业推动了思想交流和知识共享，达到了前所未有的规模，促使印刷机在早期现代迅速传播到全球。除了文字印刷的发展，成本较低和比较崭新的图像复制方法，包括石版印刷、丝网印刷和复印等，也相继发展起来。"
zh_simp_hydrogen_isotopes.png,zh,Simp Hydrogen Isotopes,"氢（原子量：1.00794(7)）共有7个已知同位素，质量数介于1-7之间，其中有2个是稳定的，其他都具有放射性。天然存在的氢同位素有3个，分别是稳定的氕（H）、氘（H）和具放射性的氚（H），其中H在自然界中仅痕量存在，为宇宙射线所产生。另外四个同位素（H到H）都不出现在自然界中，只有在实验室制造出来过，且半衰期都少于10秒，极为不稳定。氢是唯一一个天然同位素各拥有不同名称的元素。虽然在一些有关放射性的早期文献中，一些属于自然界中三大衰变链的放射性核素也有自己专属的名称和化学符号，但是今日已经鲜少使用了。
氢原子，又称氕，是氢元素的原子，是构造最简单的原子。电中性的氢原子含有一个正价的质子与一个负价的电子，被库仑定律束缚于原子核内。"
zh_simp_periodic_table.png,zh,Simp Periodic Table,"元素周期表是依原子序数、核外电子排布情况和化学性质的相似性来排列化学元素的表格。一如其名，元素周期表的排列展现元素性质的周期性趋势。其中，周期表的横行被称作周期，纵列则被称作族。一般而言，在同一周期内，金属元素位于表的左端，非金属位于右端；同族的元素则大多具有相似化学性质。周期表中有四个族具有单独的别名，包括第1族（IA族）被称为碱金属、第2族（IIA族）被称为碱土金属、第17族（VIIA族）被称为卤素，以及第18族（VIIIA族）被称为稀有气体。
元素周期表排列的周期性趋势既可用于推演不同元素间性质的关系，也可用于预测未发现或新合成的元素的性质。周期表最早由俄罗斯化学家德米特里·门捷列夫在1869年发布，主要用于表现当时已知的元素之间的周期性规律，但他也借此基本成功预测当时尚未发现的、位于周期表空位中的元素的一部分性质。随着新元素的发现和化学性质理论模型的健全，门捷列夫的思想也在不断完善。现代的元素周期表不仅为分析化学反应提供有用的框架，也在其他化学领域乃至核物理学中得到广泛应用。"
zh_trad_artificial_intelligence.png,zh,Trad Artificial Intelligence,"人工智能（英語：artificial intelligence，縮寫為AI），是指計算機系統執行通常與人類智慧相關的任務的能力，例如學習、推理、解決問題、感知和決策。它是計算機科學的一個研究領域，致力於開發和研究使機器能夠感知其環境並利用學習和智能採取行動以最大限度地提高其實現既定目標的可能性的方法和軟件。
通常人工智能是指用普通電腦程式來呈現人類智能的技術。該詞也指出研究這樣的智能系統是否能夠實現，以及如何實現。同時，隨著醫學、神經科學、機器人學及統計學等方面的發展，普遍認為人類的部分職業也逐漸被其取代。"
zh_trad_history_of_printing.png,zh,Trad History Of Printing,"印刷史可以追溯到公元前3000年左右，當時原始埃蘭和蘇美爾文明使用圓筒印章來認證刻在黏土板上的文件。其他早期的印刷形式包括方封印、錘打鑄幣、陶器印記和布料印刷。紡織品上的木刻印刷方法，比如絲綢上的木刻印刷，最初起源於中國唐朝的7世紀，而後傳至亞洲其他地方，如韓國和日本，使書籍製作和木刻印刷技術流行。漢傳佛教《金剛經》是於868年5月11日木刻印刷，是已知最早具有確切出版日期的印刷書籍。活字印刷術於宋朝11世紀由中國刻版工畢昇發明，但與木刻印刷相比，其使用範圍有限。儘管如此，這項技術還是傳至中國以外的地方，最早使用金屬活字印刷的書籍則是《直指》，印刷於1377年高麗王朝時代。
直到15世紀中葉，歐洲也使用木版印刷。中世紀後期的德國發明家約翰內斯·谷登堡基於先前已知的壓力機和大規模生產金屬活字的工藝，創造了第一台印刷機。到15世紀末，他的發明和《谷登堡聖經》的廣泛流傳導致了歐洲文藝復興時期興起的經濟書籍出版業，最終傳至英美殖民地的出版商和印刷商。這一產業推動了思想交流和知識共享，達到了前所未有的規模，促使印刷機在早期現代迅速傳播到全球。除了文字印刷的發展，成本較低和比較嶄新的圖像複製方法，包括石版印刷、絲網印刷和複印等，也相繼發展起來。"
zh_trad_hydrogen_isotopes.png,zh,Trad Hydrogen Isotopes,"氫（原子量：1.00794(7)）共有7個已知同位素，質量數介於1-7之間，其中有2個是穩定的，其他都具有放射性。天然存在的氫同位素有3個，分別是穩定的氕（H）、氘（H）和具放射性的氚（H），其中H在自然界中僅痕量存在，為宇宙射線所產生。另外四個同位素（H到H）都不出現在自然界中，只有在實驗室製造出來過，且半衰期都少於10秒，極為不穩定。氫是唯一一個天然同位素各擁有不同名稱的元素。雖然在一些有關放射性的早期文獻中，一些屬於自然界中三大衰變鏈的放射性核素也有自己專屬的名稱和化學符號，但是今日已經鮮少使用了。
氫原子，又稱氕，是氫元素的原子，是構造最簡單的原子。電中性的氫原子含有一個正價的質子與一個負價的電子，被庫侖定律束縛於原子核內。"
zh_trad_periodic_table.png,zh,Trad Periodic Table,"元素週期表是依原子序數、核外電子排布情況和化學性質的相似性來排列化學元素的表格。一如其名，元素週期表的排列展現元素性質的週期性趨勢。其中，週期表的橫行被稱作週期，縱列則被稱作族。一般而言，在同一週期內，金屬元素位於表的左端，非金屬位於右端；同族的元素則大多具有相似化學性質。週期表中有四個族具有單獨的別名，包括第1族（IA族）被稱為鹼金屬、第2族（IIA族）被稱為鹼土金屬、第17族（VIIA族）被稱為鹵素，以及第18族（VIIIA族）被稱為稀有氣體。
元素週期表排列的週期性趨勢既可用於推演不同元素間性質的關係，也可用於預測未發現或新合成的元素的性質。週期表最早由俄羅斯化學家德米特里·門捷列夫在1869年發布，主要用於表現當時已知的元素之間的週期性規律，但他也藉此基本成功預測當時尚未發現的、位於週期表空位中的元素的一部分性質。隨着新元素的發現和化學性質理論模型的健全，門捷列夫的思想也在不斷完善。現代的元素週期表不僅為分析化學反應提供有用的框架，也在其他化學領域乃至核物理學中得到廣泛應用。"
